threads,histogram,bin,bin_label,runs,mean_content,mean_exact_error,mean_approx_error,mean_rowwise_error,mean_relative_difference_pct,min_relative_difference_pct,max_relative_difference_pct,mean_rowwise_relative_difference_pct
4,nMuon,5,4.0,2,362.7777777777829,7.909207011803057,7.908426472269962,6.348908723182922,-0.009868745778540688,-0.019737491557081377,0.0,-19.72761980172819
4,nMuon,6,overflow,2,24.111111111111093,1.95946578761649,1.95946578761649,1.6367688736284716,0.0,0.0,0.0,-16.468616907088208
4,selected_nMuon,0,underflow,2,0.0,0.0,0.0,0.0,,,,
4,selected_nMuon,1,0.0,2,1697.5555555555386,30.68477726097371,30.68477726097371,13.733800783127162,0.0,0.0,0.0,-55.242299247208706
4,selected_nMuon,2,1.0,2,10569.111111111144,83.37969080960733,83.37909854227757,34.268727420387286,-0.0007103256488505405,-0.0014206512976788765,-2.220446049250313e-14,-58.90039038566606
4,selected_nMuon,3,2.0,2,34096.11111110953,171.97369164288617,171.971394405656,61.550441023001575,-0.0013358073599589737,-0.0013358073599589737,-0.0013358073599589737,-64.20938549669863
4,selected_nMuon,4,3.0,2,4233.111111110775,34.52928619213452,34.528928648023644,21.687454415221058,-0.0010354807478241135,-0.0010354807478352157,-0.0010354807478130112,-37.19113017702267
4,selected_nMuon,5,4.0,2,352.5555555555603,7.781745019952446,7.781745019952446,6.258820935781154,-5.551115123125783e-15,-1.1102230246251565e-14,0.0,-19.57047012291593
4,selected_nMuon,6,overflow,2,23.44444444444443,1.9404721329525547,1.9404721329525547,1.6139821162593286,0.0,0.0,0.0,-16.82528757557833
8,nGenJet,0,underflow,2,0.0,0.0,0.0,0.0,,,,
8,nGenJet,1,0.0,2,407.0,20.174241001832016,20.168119618556904,6.724747000610685,-0.030342570382480005,-0.06068514076496001,0.0,-66.6666666666666
8,nGenJet,2,1.0,2,669.0,25.865034312755125,25.865034312755125,8.621678104251682,0.0,0.0,0.0,-66.66666666666676
8,nGenJet,3,2.0,2,21490.0,146.59467930317254,146.58987888167024,48.8648931010672,-0.00327462192019623,-0.004251278114231205,-0.002297965726161255,-66.66666666666006
8,nGenJet,4,3.0,2,18480.0,135.94116374373144,135.93662283618295,45.31372124791799,-0.0033403477088411737,-0.004810120496323567,-0.0018705749213587808,-66.66666666666114
8,nGenJet,5,4.0,2,14582.0,120.75595223424807,120.74879545957496,40.25198407808686,-0.005926643399922771,-0.005926643399922771,-0.005926643399922771,-66.6666666666632
8,nGenJet,6,overflow,2,23237.0,152.43687217992897,152.42755817415105,50.81229072665382,-0.006110074055382109,-0.007225859660930922,-0.004994288449833295,-66.66666666665957
8,nMuon,0,underflow,2,0.0,0.0,0.0,0.0,,,,
8,nMuon,1,0.0,2,10149.666666666682,99.12562175789287,99.1221344011644,33.581851359635984,-0.0035181183902111,-0.005151553039606238,-0.0018846837408159622,-66.12192613363152
8,nMuon,2,1.0,2,27232.333333333045,158.303233006301,158.29586298265497,55.007406908672486,-0.00465563684712289,-0.0066016811696489874,-0.0027095925245967933,-65.25187397374064
8,nMuon,3,2.0,2,36635.55555555514,177.91224081580236,177.90453813094206,63.8013893575438,-0.004329485607607042,-0.005421630241397857,-0.0032373409738162273,-64.13884223761804
8,nMuon,4,3.0,2,4460.555555555399,35.62787783481294,35.62683826581025,22.26246356427461,-0.0029178527205908633,-0.0038904829075980807,-0.001945222533583646,-37.51392191391942
8,nMuon,5,4.0,2,362.7777777777792,7.909207011803119,7.908426472270024,6.348908723182969,-0.00986874577855179,-0.01973749155709248,-1.1102230246251565e-14,-19.72761980172823
8,nMuon,6,overflow,2,24.111111111111114,1.9594657876164892,1.9594657876164892,1.636768873628471,0.0,0.0,0.0,-16.468616907088208
8,selected_nMuon,0,underflow,2,0.0,0.0,0.0,0.0,,,,
8,selected_nMuon,1,0.0,2,1697.5555555555663,30.68477726097341,30.683369010252022,13.733800783126611,-0.004589411581551461,-0.00917882316309182,-1.1102230246251565e-14,-55.24229924721006
8,selected_nMuon,2,1.0,2,10569.11111111091,83.37969080961071,83.37376791542204,34.26872742038034,-0.007103521410506408,-0.010655376733337274,-0.0035516660876755424,-58.90039038567606
8,selected_nMuon,3,2.0,2,34096.1111111106,171.9736916428933,171.9673741648547,61.5504410229977,-0.0036735142324550996,-0.004132711814219814,-0.0032143166506903853,-64.20938549670237
8,selected_nMuon,4,3.0,2,4233.111111110981,34.52928619213361,34.52821354684242,21.687454415223105,-0.0031064797726187976,-0.004141987327210828,-0.0020709722180267676,-37.19113017701508
8,selected_nMuon,5,4.0,2,352.5555555555567,7.781745019952506,7.781745019952505,6.258820935781195,-5.551115123125783e-15,-1.1102230246251565e-14,0.0,-19.57047012291602
8,selected_nMuon,6,overflow,2,23.44444444444445,1.9404721329525536,1.9404721329525536,1.613982116259328,0.0,0.0,0.0,-16.82528757557833
16,nGenJet,0,underflow,2,0.0,0.0,0.0,0.0,,,,
16,nGenJet,1,0.0,2,407.0,20.174241001832016,20.161998235281793,6.724747000610684,-0.06068514076496001,-0.06068514076496001,-0.06068514076496001,-66.6666666666666
16,nGenJet,2,1.0,2,669.0,25.865034312755125,25.865034312755125,8.621678104251725,0.0,0.0,0.0,-66.6666666666666
16,nGenJet,3,2.0,2,21490.0,146.59467930317254,146.58499405024912,48.864893101057575,-0.006606824319582705,-0.009077272309865325,-0.004136376329300084,-66.66666666666663
16,nGenJet,4,3.0,2,18480.0,135.94116374373144,135.92863050504025,45.313721247908475,-0.009219605265997632,-0.010154970216014192,-0.008284240315981073,-66.66666666666814
16,nGenJet,5,4.0,2,14582.0,120.75595223424807,120.74347872309178,40.25198407808114,-0.01032952076109872,-0.010668211047581977,-0.009990830474615464,-66.66666666666794
16,nGenJet,6,overflow,2,23237.0,152.43687217992897,152.4196205784221,50.81229072664445,-0.011317210370548336,-0.012539324912919092,-0.01009509582817758,-66.66666666666572
16,nMuon,0,underflow,2,0.0,0.0,0.0,0.0,,,,
16,nMuon,1,0.0,2,10149.666666666677,99.1256217578931,99.11391375424057,33.58185135963741,-0.011811278905404787,-0.013067871312133494,-0.01055468649867608,-66.12192613363015
16,nMuon,2,1.0,2,27232.333333333583,158.30323300629863,158.29274333383904,55.007406908663825,-0.006626316001484556,-0.007045093286051074,-0.006207538716918037,-65.25187397374559
16,nMuon,3,2.0,2,36635.55555555574,177.9122408157957,177.89367747015413,63.80138935753633,-0.010433990127084458,-0.012208833507099115,-0.008659146747069801,-64.1388422376209
16,nMuon,4,3.0,2,4460.555555555593,35.62787783481269,35.62614520576447,22.262463564273276,-0.0048631272854593455,-0.0048631272854593455,-0.0048631272854593455,-37.51392191392272
16,nMuon,5,4.0,2,362.7777777777769,7.909207011803122,7.908426472270028,6.348908723182968,-0.00986874577855179,-0.01973749155710358,0.0,-19.72761980172828
16,nMuon,6,overflow,2,24.111111111111114,1.9594657876164885,1.9594657876164885,1.6367688736284707,0.0,0.0,0.0,-16.468616907088197
16,selected_nMuon,0,underflow,2,0.0,0.0,0.0,0.0,,,,
16,selected_nMuon,1,0.0,2,1697.555555555562,30.684777260973505,30.681960759530728,13.733800783126778,-0.009178823163097372,-0.009178823163102923,-0.00917882316309182,-55.24229924720965
16,selected_nMuon,2,1.0,2,10569.111111111019,83.37969080961028,83.3696217201271,34.268727420381055,-0.012076189519788505,-0.013497002306228634,-0.010655376733348376,-58.90039038567498
16,selected_nMuon,3,2.0,2,34096.11111111142,171.9736916428875,171.9569282727433,61.55044102298996,-0.009747636387896774,-0.010937447850267734,-0.008557824925525814,-64.20938549670568
16,selected_nMuon,4,3.0,2,4233.111111111162,34.529286192133576,34.52749843455423,21.687454415221794,-0.005177510966775101,-0.005177510966780652,-0.00517751096676955,-37.19113017701882
16,selected_nMuon,5,4.0,2,352.55555555555463,7.78174501995251,7.78174501995251,6.258820935781194,0.0,0.0,0.0,-19.570470122916078
16,selected_nMuon,6,overflow,2,23.44444444444445,1.9404721329525532,1.9404721329525532,1.6139821162593277,0.0,0.0,0.0,-16.82528757557832
32,nGenJet,0,underflow,2,0.0,0.0,0.0,0.0,,,,
32,nGenJet,1,0.0,2,407.0,20.174241001832016,20.168119618556904,6.724747000610681,-0.030342570382480005,-0.06068514076496001,0.0,-66.66666666666661
32,nGenJet,2,1.0,2,669.0,25.865034312755125,25.865034312755125,8.621678104251725,0.0,0.0,0.0,-66.6666666666666
32,nGenJet,3,2.0,2,21490.0,146.59467930317254,146.5801091355965,48.86489310105786,-0.009939083495602574,-0.010571079624033253,-0.009307087367171896,-66.66666666666643
32,nGenJet,4,3.0,2,18480.0,135.94116374373144,135.9249974727777,45.31372124791111,-0.011892108695066295,-0.012292990102480417,-0.011491227287652173,-66.6666666666662
32,nGenJet,5,4.0,2,14582.0,120.75595223424807,120.74143375198116,40.25198407808354,-0.01202299513877736,-0.013377779229972742,-0.010668211047581977,-66.66666666666596
32,nGenJet,6,overflow,2,23237.0,152.43687217992897,152.41281659943547,50.81229072664285,-0.015780683603300316,-0.01689657712913295,-0.014664790077467682,-66.66666666666676
32,nMuon,0,underflow,2,0.0,0.0,0.0,0.0,,,,
32,nMuon,1,0.0,2,10149.666666666666,99.12562175789313,99.11198305105403,33.58185135963658,-0.013759012652064806,-0.014701475315959112,-0.0128165499881705,-66.12192613363099
32,nMuon,2,1.0,2,27232.333333333474,158.3032330062999,158.28615279728177,55.007406908657856,-0.01078955160533357,-0.012267650621122783,-0.009311452589544356,-65.25187397374964
32,nMuon,3,2.0,2,36635.55555555575,177.91224081579816,177.88968699743936,63.801389357525196,-0.012676934569183507,-0.013145035631279,-0.012208833507088013,-64.13884223762764
32,nMuon,4,3.0,2,4460.555555555608,35.62787783481277,35.62614520576456,22.262463564273432,-0.004863127285453794,-0.004863127285470448,-0.004863127285437141,-37.51392191392243
32,nMuon,5,4.0,2,362.77777777777715,7.909207011803121,7.9076459327369335,6.348908723182966,-0.01973749155709248,-0.01973749155709248,-0.01973749155709248,-19.727619801728302
32,nMuon,6,overflow,2,24.111111111111114,1.9594657876164885,1.9594657876164885,1.6367688736284705,0.0,0.0,0.0,-16.468616907088204
32,selected_nMuon,0,underflow,2,0.0,0.0,0.0,0.0,,,,
32,selected_nMuon,1,0.0,2,1697.5555555555575,30.68477726097347,30.682161946119727,13.733800783126934,-0.008523167144069976,-0.00917882316309182,-0.007867511125048132,-55.24229924720909
32,selected_nMuon,2,1.0,2,10569.11111111111,83.3796908096103,83.36680809132693,34.26872742038046,-0.01545066689295771,-0.015628274485324223,-0.015273059300591196,-58.90039038567571
32,selected_nMuon,3,2.0,2,34096.11111111137,171.97369164289,171.95323079254484,61.55044102297984,-0.011897663037707673,-0.012189903715831285,-0.011605422359584061,-64.20938549671209
32,selected_nMuon,4,3.0,2,4233.111111111163,34.5292861921336,34.527498434554246,21.687454415222,-0.005177510966780652,-0.005177510966780652,-0.005177510966780652,-37.19113017701825
32,selected_nMuon,5,4.0,2,352.5555555555549,7.781745019952508,7.781745019952507,6.258820935781191,-1.1102230246251565e-14,-1.1102230246251565e-14,-1.1102230246251565e-14,-19.5704701229161
32,selected_nMuon,6,overflow,2,23.44444444444445,1.9404721329525532,1.9404721329525532,1.6139821162593277,0.0,0.0,0.0,-16.82528757557832
